Voltage,Current
0,0.869350135
0.01,0.870084584
0.02,0.867678821
0.03,0.871105313
0.04,0.868722498
0.05,0.870482445
0.06,0.869599879
0.07,0.867757738
0.08,0.866226494
0.09,0.869925678
0.1,0.869723201
0.11,0.868748724
0.12,0.87041837
0.13,0.869805515
0.14,0.868338346
0.15,0.871583581
0.16,0.872305691
0.17,0.872815967
0.18,0.871538401
0.19,0.869082749
0.2,0.868677914
0.21,0.874088943
0.22,0.867170751
0.23,0.870460868
0.24,0.868049681
0.25,0.871820688
0.26,0.869736969
0.27,0.868344367
0.28,0.868542552
0.29,0.863789976
0.3,0.861631811
0.31,0.861920059
0.32,0.864178419
0.33,0.862724125
0.34,0.860745132
0.35,0.859436393
0.36,0.85793364
0.37,0.853439629
0.38,0.851259112
0.39,0.85092175
0.4,0.85018003
0.41,0.848705769
0.42,0.840284646
0.43,0.839612424
0.44,0.831529438
0.45,0.829862893
0.46,0.822314918
0.47,0.812562227
0.48,0.807722092
0.49,0.795220852
0.5,0.785020828
0.51,0.770621359
0.52,0.756172955
0.53,0.737285554
0.54,0.71350795
0.55,0.684123278
0.56,0.642306328
0.57,0.592163086
0.58,0.525178552
0.59,0.435539752
0.6,0.315295845
0.61,0.155149072
0.62,-0.06025688
