ICell,VCell,Cell_Current,Cell_Voltage,Cell_Power
0.0591,2.3914,0.276996743,0.640882753,0.177522435
0.0591,2.3908,0.276996743,0.640703223,0.177472706
0.0757,2.3728,0.354319218,0.635317334,0.225105141
0.1787,2.2974,0.834091205,0.612756446,0.511094763
0.2683,2.2275,1.251446254,0.591841246,0.74065751
0.348,2.1591,1.622687296,0.571374869,0.927162742
0.4179,2.0908,1.94828013,0.550938415,1.073382366
0.4796,2.022,2.235677524,0.530352352,1.185696833
0.5319,1.9515,2.479289902,0.509257622,1.26259728
0.5721,1.8802,2.666540717,0.487923519,1.30106793
0.6022,1.8077,2.806745928,0.466230357,1.308590157
0.6268,1.7317,2.921332248,0.443489939,1.29558146
0.6429,1.6538,2.996325733,0.42018101,1.258999174
0.6521,1.5784,3.039179153,0.397620122,1.208438785
0.66,1.5079,3.075977199,0.376525392,1.15818352
0.6664,1.44,3.105788274,0.356208624,1.106308566
0.6686,1.3731,3.116035831,0.336191071,1.047583425
0.6705,1.3048,3.124885993,0.315754617,0.986697179
0.6748,1.2332,3.144915309,0.294330749,0.925645279
0.6759,1.1601,3.150039088,0.272458057,0.858253531
0.6752,1.0877,3.146778502,0.250794817,0.789195739
0.6776,1.0144,3.157957655,0.228862282,0.722737396
0.6799,0.9405,3.16867101,0.206750218,0.655123421
0.678,0.8668,3.159820847,0.184697997,0.58361258
0.6778,0.7954,3.158889251,0.163333972,0.515953929
0.6804,0.7232,3.171,0.141730575,0.449427653
0.6799,0.6521,3.16867101,0.120456315,0.381686434
0.6782,0.5833,3.160752443,0.099870253,0.315665145
0.6795,0.5156,3.166807818,0.079613328,0.252120108
0.681,0.4455,3.173794788,0.058638284,0.18610588
0.6793,0.3774,3.165876221,0.038261672,0.121131719
0.6786,0.3103,3.162615635,0.018184277,0.057509879
