vset	V(vmeas)	I(R3)
0.000000000000000e+00	7.156578e-01	2.681248e-09
1.000000000000000e-03	7.156565e-01	4.995028e-03
2.000000000000000e-03	7.156552e-01	9.994779e-03
3.000000000000000e-03	7.156540e-01	1.499463e-02
4.000000000000000e-03	7.156526e-01	1.999452e-02
5.000000000000000e-03	7.156513e-01	2.499443e-02
6.000000000000000e-03	7.156501e-01	2.999436e-02
7.000000000000000e-03	7.156488e-01	3.499429e-02
8.000000000000000e-03	7.156475e-01	3.999424e-02
9.000000000000001e-03	7.156461e-01	4.499419e-02
1.000000000000000e-02	7.156448e-01	4.999414e-02
1.100000000000000e-02	7.156436e-01	5.499410e-02
1.200000000000000e-02	7.156423e-01	5.999406e-02
1.300000000000000e-02	7.156410e-01	6.499402e-02
1.400000000000001e-02	7.156397e-01	6.999399e-02
1.500000000000001e-02	7.156383e-01	7.499395e-02
1.600000000000001e-02	7.156370e-01	7.999392e-02
1.700000000000001e-02	7.156357e-01	8.499389e-02
1.800000000000001e-02	7.156345e-01	8.999386e-02
1.900000000000001e-02	7.156332e-01	9.499384e-02
2.000000000000001e-02	7.156318e-01	9.999381e-02
2.100000000000001e-02	7.156305e-01	1.049938e-01
2.200000000000001e-02	7.156292e-01	1.099938e-01
2.300000000000001e-02	7.156279e-01	1.149937e-01
2.400000000000001e-02	7.156266e-01	1.199937e-01
2.500000000000002e-02	7.156253e-01	1.249937e-01
2.600000000000002e-02	7.156240e-01	1.299937e-01
2.700000000000002e-02	7.156226e-01	1.349936e-01
2.800000000000002e-02	7.156213e-01	1.399936e-01
2.900000000000002e-02	7.156200e-01	1.449936e-01
3.000000000000002e-02	7.156187e-01	1.499936e-01
3.100000000000002e-02	7.156174e-01	1.549936e-01
3.200000000000002e-02	7.156160e-01	1.599935e-01
3.300000000000002e-02	7.156147e-01	1.649935e-01
3.400000000000002e-02	7.156134e-01	1.699935e-01
3.500000000000002e-02	7.156121e-01	1.749935e-01
3.600000000000003e-02	7.156107e-01	1.799935e-01
3.700000000000003e-02	7.156094e-01	1.849934e-01
3.800000000000003e-02	7.156081e-01	1.899934e-01
3.900000000000003e-02	7.156067e-01	1.949934e-01
4.000000000000003e-02	7.156054e-01	1.999934e-01
4.100000000000003e-02	7.156041e-01	2.049934e-01
4.200000000000003e-02	7.156028e-01	2.099934e-01
4.300000000000003e-02	7.156014e-01	2.149933e-01
4.400000000000003e-02	7.156001e-01	2.199933e-01
4.500000000000003e-02	7.155988e-01	2.249933e-01
4.600000000000003e-02	7.155975e-01	2.299933e-01
4.700000000000003e-02	7.155961e-01	2.349933e-01
4.800000000000004e-02	7.155948e-01	2.399933e-01
4.900000000000004e-02	7.155934e-01	2.449933e-01
5.000000000000004e-02	7.155921e-01	2.499932e-01
5.100000000000004e-02	7.155907e-01	2.549932e-01
5.200000000000004e-02	7.155894e-01	2.599932e-01
5.300000000000004e-02	7.155880e-01	2.649932e-01
5.400000000000004e-02	7.155867e-01	2.699932e-01
5.500000000000004e-02	7.155854e-01	2.749932e-01
5.600000000000004e-02	7.155840e-01	2.799931e-01
5.700000000000004e-02	7.155827e-01	2.849931e-01
5.800000000000004e-02	7.155813e-01	2.899931e-01
5.900000000000005e-02	7.155800e-01	2.949931e-01
6.000000000000005e-02	7.155786e-01	2.999931e-01
6.100000000000005e-02	7.155772e-01	3.049931e-01
6.200000000000005e-02	7.155759e-01	3.099931e-01
6.300000000000004e-02	7.155746e-01	3.149931e-01
6.400000000000004e-02	7.155732e-01	3.199930e-01
6.500000000000004e-02	7.155718e-01	3.249930e-01
6.600000000000004e-02	7.155705e-01	3.299930e-01
6.700000000000005e-02	7.155691e-01	3.349930e-01
6.800000000000005e-02	7.155678e-01	3.399930e-01
6.900000000000005e-02	7.155664e-01	3.449930e-01
7.000000000000005e-02	7.155650e-01	3.499930e-01
7.100000000000005e-02	7.155637e-01	3.549929e-01
7.200000000000005e-02	7.155623e-01	3.599929e-01
7.300000000000005e-02	7.155610e-01	3.649929e-01
7.400000000000005e-02	7.155596e-01	3.699929e-01
7.500000000000005e-02	7.155582e-01	3.749929e-01
7.600000000000005e-02	7.155569e-01	3.799929e-01
7.700000000000005e-02	7.155555e-01	3.849929e-01
7.800000000000006e-02	7.155541e-01	3.899929e-01
7.900000000000006e-02	7.155527e-01	3.949928e-01
8.000000000000006e-02	7.155514e-01	3.999928e-01
8.100000000000006e-02	7.155500e-01	4.049928e-01
8.200000000000006e-02	7.155486e-01	4.099928e-01
8.300000000000006e-02	7.155473e-01	4.149928e-01
8.400000000000006e-02	7.155459e-01	4.199928e-01
8.500000000000006e-02	7.155445e-01	4.249928e-01
8.600000000000006e-02	7.155432e-01	4.299928e-01
8.700000000000006e-02	7.155417e-01	4.349927e-01
8.800000000000006e-02	7.155403e-01	4.399927e-01
8.900000000000007e-02	7.155390e-01	4.449927e-01
9.000000000000007e-02	7.155376e-01	4.499927e-01
9.100000000000007e-02	7.155362e-01	4.549927e-01
9.200000000000007e-02	7.155348e-01	4.599927e-01
9.300000000000007e-02	7.155334e-01	4.649927e-01
9.400000000000007e-02	7.155321e-01	4.699927e-01
9.500000000000007e-02	7.155307e-01	4.749926e-01
