vset	V(vcell+)	V(vcell-)	I(R3)
0.000000000000000e+00	7.156859e-01	-3.387979e-08	2.681248e-09
1.000000000000000e-03	7.156600e-01	-2.470051e-05	4.995028e-03
2.000000000000000e-03	7.156340e-01	-4.939620e-05	9.994779e-03
3.000000000000000e-03	7.156080e-01	-7.410168e-05	1.499463e-02
4.000000000000000e-03	7.155820e-01	-9.881823e-05	1.999452e-02
5.000000000000000e-03	7.155560e-01	-1.235464e-04	2.499443e-02
6.000000000000000e-03	7.155299e-01	-1.482806e-04	2.999436e-02
7.000000000000000e-03	7.155039e-01	-1.730274e-04	3.499429e-02
8.000000000000000e-03	7.154778e-01	-1.977842e-04	3.999424e-02
9.000000000000001e-03	7.154518e-01	-2.225494e-04	4.499419e-02
1.000000000000000e-02	7.154257e-01	-2.473228e-04	4.999414e-02
1.100000000000000e-02	7.153996e-01	-2.721081e-04	5.499410e-02
1.200000000000000e-02	7.153735e-01	-2.968989e-04	5.999406e-02
1.300000000000000e-02	7.153474e-01	-3.217039e-04	6.499402e-02
1.400000000000001e-02	7.153213e-01	-3.465183e-04	6.999399e-02
1.500000000000001e-02	7.152952e-01	-3.713407e-04	7.499395e-02
1.600000000000001e-02	7.152690e-01	-3.961733e-04	7.999392e-02
1.700000000000001e-02	7.152429e-01	-4.210165e-04	8.499389e-02
1.800000000000001e-02	7.152168e-01	-4.458699e-04	8.999386e-02
1.900000000000001e-02	7.151906e-01	-4.707301e-04	9.499384e-02
2.000000000000001e-02	7.151644e-01	-4.956002e-04	9.999381e-02
2.100000000000001e-02	7.151382e-01	-5.204844e-04	1.049938e-01
2.200000000000001e-02	7.151120e-01	-5.453736e-04	1.099938e-01
2.300000000000001e-02	7.150858e-01	-5.702745e-04	1.149937e-01
2.400000000000001e-02	7.150596e-01	-5.951886e-04	1.199937e-01
2.500000000000002e-02	7.150334e-01	-6.201061e-04	1.249937e-01
2.600000000000002e-02	7.150071e-01	-6.450368e-04	1.299937e-01
2.700000000000002e-02	7.149808e-01	-6.699745e-04	1.349936e-01
2.800000000000002e-02	7.149546e-01	-6.949256e-04	1.399936e-01
2.900000000000002e-02	7.149283e-01	-7.198852e-04	1.449936e-01
3.000000000000002e-02	7.149020e-01	-7.448546e-04	1.499936e-01
3.100000000000002e-02	7.148757e-01	-7.698353e-04	1.549936e-01
3.200000000000002e-02	7.148494e-01	-7.948227e-04	1.599935e-01
3.300000000000002e-02	7.148231e-01	-8.198217e-04	1.649935e-01
3.400000000000002e-02	7.147968e-01	-8.448295e-04	1.699935e-01
3.500000000000002e-02	7.147704e-01	-8.698490e-04	1.749935e-01
3.600000000000003e-02	7.147441e-01	-8.948753e-04	1.799935e-01
3.700000000000003e-02	7.147177e-01	-9.199128e-04	1.849934e-01
3.800000000000003e-02	7.146913e-01	-9.449610e-04	1.899934e-01
3.900000000000003e-02	7.146649e-01	-9.700198e-04	1.949934e-01
4.000000000000003e-02	7.146385e-01	-9.950863e-04	1.999934e-01
4.100000000000003e-02	7.146121e-01	-1.020163e-03	2.049934e-01
4.200000000000003e-02	7.145857e-01	-1.045250e-03	2.099934e-01
4.300000000000003e-02	7.145593e-01	-1.070348e-03	2.149933e-01
4.400000000000003e-02	7.145329e-01	-1.095453e-03	2.199933e-01
4.500000000000003e-02	7.145064e-01	-1.120570e-03	2.249933e-01
4.600000000000003e-02	7.144799e-01	-1.145698e-03	2.299933e-01
4.700000000000003e-02	7.144535e-01	-1.170834e-03	2.349933e-01
4.800000000000004e-02	7.144270e-01	-1.195981e-03	2.399933e-01
4.900000000000004e-02	7.144005e-01	-1.221139e-03	2.449933e-01
5.000000000000004e-02	7.143740e-01	-1.246305e-03	2.499932e-01
5.100000000000004e-02	7.143475e-01	-1.271481e-03	2.549932e-01
5.200000000000004e-02	7.143210e-01	-1.296666e-03	2.599932e-01
5.300000000000004e-02	7.142944e-01	-1.321863e-03	2.649932e-01
5.400000000000004e-02	7.142678e-01	-1.347070e-03	2.699932e-01
5.500000000000004e-02	7.142413e-01	-1.372286e-03	2.749932e-01
5.600000000000004e-02	7.142147e-01	-1.397512e-03	2.799931e-01
5.700000000000004e-02	7.141882e-01	-1.422750e-03	2.849931e-01
5.800000000000004e-02	7.141616e-01	-1.447994e-03	2.899931e-01
5.900000000000005e-02	7.141349e-01	-1.473251e-03	2.949931e-01
6.000000000000005e-02	7.141083e-01	-1.498519e-03	2.999931e-01
6.100000000000005e-02	7.140817e-01	-1.523793e-03	3.049931e-01
6.200000000000005e-02	7.140551e-01	-1.549078e-03	3.099931e-01
6.300000000000004e-02	7.140284e-01	-1.574378e-03	3.149931e-01
6.400000000000004e-02	7.140018e-01	-1.599683e-03	3.199930e-01
6.500000000000004e-02	7.139751e-01	-1.624998e-03	3.249930e-01
6.600000000000004e-02	7.139484e-01	-1.650325e-03	3.299930e-01
6.700000000000005e-02	7.139217e-01	-1.675661e-03	3.349930e-01
6.800000000000005e-02	7.138950e-01	-1.701008e-03	3.399930e-01
6.900000000000005e-02	7.138683e-01	-1.726363e-03	3.449930e-01
7.000000000000005e-02	7.138416e-01	-1.751732e-03	3.499930e-01
7.100000000000005e-02	7.138149e-01	-1.777108e-03	3.549929e-01
7.200000000000005e-02	7.137881e-01	-1.802494e-03	3.599929e-01
7.300000000000005e-02	7.137613e-01	-1.827893e-03	3.649929e-01
7.400000000000005e-02	7.137346e-01	-1.853300e-03	3.699929e-01
7.500000000000005e-02	7.137077e-01	-1.878714e-03	3.749929e-01
7.600000000000005e-02	7.136810e-01	-1.904145e-03	3.799929e-01
7.700000000000005e-02	7.136542e-01	-1.929580e-03	3.849929e-01
7.800000000000006e-02	7.136273e-01	-1.955029e-03	3.899929e-01
7.900000000000006e-02	7.136005e-01	-1.980488e-03	3.949928e-01
8.000000000000006e-02	7.135737e-01	-2.005954e-03	3.999928e-01
8.100000000000006e-02	7.135468e-01	-2.031434e-03	4.049928e-01
8.200000000000006e-02	7.135200e-01	-2.056920e-03	4.099928e-01
8.300000000000006e-02	7.134931e-01	-2.082421e-03	4.149928e-01
8.400000000000006e-02	7.134662e-01	-2.107927e-03	4.199928e-01
8.500000000000006e-02	7.134393e-01	-2.133448e-03	4.249928e-01
8.600000000000006e-02	7.134124e-01	-2.158976e-03	4.299928e-01
8.700000000000006e-02	7.133855e-01	-2.184516e-03	4.349927e-01
8.800000000000006e-02	7.133586e-01	-2.210065e-03	4.399927e-01
8.900000000000007e-02	7.133316e-01	-2.235627e-03	4.449927e-01
9.000000000000007e-02	7.133047e-01	-2.261194e-03	4.499927e-01
9.100000000000007e-02	7.132777e-01	-2.286776e-03	4.549927e-01
9.200000000000007e-02	7.132508e-01	-2.312367e-03	4.599927e-01
9.300000000000007e-02	7.132238e-01	-2.337966e-03	4.649927e-01
9.400000000000007e-02	7.131968e-01	-2.363580e-03	4.699927e-01
9.500000000000007e-02	7.131698e-01	-2.389199e-03	4.749926e-01
9.600000000000007e-02	7.131428e-01	-2.414830e-03	4.799926e-01
9.700000000000007e-02	7.131157e-01	-2.440473e-03	4.849926e-01
9.800000000000007e-02	7.130886e-01	-2.466125e-03	4.899926e-01
9.900000000000007e-02	7.130616e-01	-2.491788e-03	4.949926e-01
1.000000000000001e-01	7.130345e-01	-2.517459e-03	4.999926e-01
1.010000000000001e-01	7.130075e-01	-2.543143e-03	5.049926e-01
1.020000000000001e-01	7.129804e-01	-2.568836e-03	5.099925e-01
1.030000000000001e-01	7.129533e-01	-2.594540e-03	5.149925e-01
1.040000000000001e-01	7.129261e-01	-2.620252e-03	5.199925e-01
1.050000000000001e-01	7.128990e-01	-2.645977e-03	5.249925e-01
1.060000000000001e-01	7.128719e-01	-2.671711e-03	5.299925e-01
1.070000000000001e-01	7.128447e-01	-2.697459e-03	5.349925e-01
1.080000000000001e-01	7.128176e-01	-2.723215e-03	5.399925e-01
1.090000000000001e-01	7.127904e-01	-2.748979e-03	5.449925e-01
1.100000000000001e-01	7.127632e-01	-2.774755e-03	5.499925e-01
1.110000000000001e-01	7.127361e-01	-2.800543e-03	5.549924e-01
1.120000000000001e-01	7.127088e-01	-2.826341e-03	5.599924e-01
1.130000000000001e-01	7.126817e-01	-2.852150e-03	5.649924e-01
1.140000000000001e-01	7.126544e-01	-2.877967e-03	5.699924e-01
1.150000000000001e-01	7.126272e-01	-2.903796e-03	5.749924e-01
1.160000000000001e-01	7.125999e-01	-2.929633e-03	5.799924e-01
1.170000000000001e-01	7.125726e-01	-2.955482e-03	5.849924e-01
1.180000000000001e-01	7.125454e-01	-2.981344e-03	5.899924e-01
1.190000000000001e-01	7.125181e-01	-3.007213e-03	5.949924e-01
1.200000000000001e-01	7.124908e-01	-3.033096e-03	5.999924e-01
1.210000000000001e-01	7.124635e-01	-3.058986e-03	6.049923e-01
1.220000000000001e-01	7.124361e-01	-3.084888e-03	6.099923e-01
1.230000000000001e-01	7.124088e-01	-3.110801e-03	6.149923e-01
1.240000000000001e-01	7.123815e-01	-3.136723e-03	6.199923e-01
1.250000000000001e-01	7.123541e-01	-3.162656e-03	6.249923e-01
1.260000000000001e-01	7.123268e-01	-3.188599e-03	6.299923e-01
1.270000000000001e-01	7.122994e-01	-3.214553e-03	6.349923e-01
1.280000000000001e-01	7.122720e-01	-3.240518e-03	6.399923e-01
1.290000000000001e-01	7.122446e-01	-3.266496e-03	6.449923e-01
1.300000000000001e-01	7.122172e-01	-3.292479e-03	6.499923e-01
1.310000000000001e-01	7.121898e-01	-3.318477e-03	6.549922e-01
1.320000000000001e-01	7.121623e-01	-3.344484e-03	6.599922e-01
1.330000000000001e-01	7.121349e-01	-3.370502e-03	6.649922e-01
1.340000000000001e-01	7.121074e-01	-3.396530e-03	6.699922e-01
1.350000000000001e-01	7.120799e-01	-3.422569e-03	6.749922e-01
1.360000000000001e-01	7.120525e-01	-3.448619e-03	6.799922e-01
1.370000000000001e-01	7.120250e-01	-3.474679e-03	6.849922e-01
1.380000000000001e-01	7.119974e-01	-3.500751e-03	6.899922e-01
1.390000000000001e-01	7.119699e-01	-3.526832e-03	6.949922e-01
1.400000000000001e-01	7.119424e-01	-3.552926e-03	6.999922e-01
1.410000000000001e-01	7.119149e-01	-3.579027e-03	7.049922e-01
1.420000000000001e-01	7.118873e-01	-3.605139e-03	7.099921e-01
1.430000000000001e-01	7.118598e-01	-3.631264e-03	7.149921e-01
1.440000000000001e-01	7.118322e-01	-3.657399e-03	7.199921e-01
1.450000000000001e-01	7.118046e-01	-3.683545e-03	7.249921e-01
1.460000000000001e-01	7.117770e-01	-3.709699e-03	7.299921e-01
1.470000000000001e-01	7.117494e-01	-3.735865e-03	7.349921e-01
1.480000000000001e-01	7.117217e-01	-3.762047e-03	7.399921e-01
1.490000000000001e-01	7.116941e-01	-3.788232e-03	7.449921e-01
1.500000000000001e-01	7.116665e-01	-3.814430e-03	7.499921e-01
1.510000000000001e-01	7.116388e-01	-3.840639e-03	7.549921e-01
1.520000000000001e-01	7.116111e-01	-3.866863e-03	7.599921e-01
1.530000000000001e-01	7.115834e-01	-3.893092e-03	7.649920e-01
1.540000000000001e-01	7.115557e-01	-3.919335e-03	7.699920e-01
1.550000000000001e-01	7.115280e-01	-3.945587e-03	7.749920e-01
1.560000000000001e-01	7.115003e-01	-3.971848e-03	7.799920e-01
1.570000000000001e-01	7.114726e-01	-3.998125e-03	7.849920e-01
1.580000000000001e-01	7.114448e-01	-4.024411e-03	7.899920e-01
1.590000000000001e-01	7.114171e-01	-4.050706e-03	7.949920e-01
1.600000000000001e-01	7.113893e-01	-4.077013e-03	7.999920e-01
1.610000000000001e-01	7.113615e-01	-4.103329e-03	8.049920e-01
1.620000000000001e-01	7.113338e-01	-4.129658e-03	8.099920e-01
1.630000000000001e-01	7.113059e-01	-4.155999e-03	8.149920e-01
1.640000000000001e-01	7.112781e-01	-4.182350e-03	8.199919e-01
1.650000000000001e-01	7.112502e-01	-4.208709e-03	8.249919e-01
1.660000000000001e-01	7.112224e-01	-4.235080e-03	8.299919e-01
1.670000000000001e-01	7.111946e-01	-4.261463e-03	8.349919e-01
1.680000000000001e-01	7.111667e-01	-4.287856e-03	8.399919e-01
1.690000000000001e-01	7.111388e-01	-4.314262e-03	8.449919e-01
1.700000000000001e-01	7.111109e-01	-4.340677e-03	8.499919e-01
1.710000000000001e-01	7.110831e-01	-4.367103e-03	8.549919e-01
1.720000000000001e-01	7.110551e-01	-4.393538e-03	8.599918e-01
1.730000000000001e-01	7.110272e-01	-4.419989e-03	8.649918e-01
1.740000000000001e-01	7.109993e-01	-4.446447e-03	8.699918e-01
1.750000000000001e-01	7.109713e-01	-4.472915e-03	8.749918e-01
1.760000000000001e-01	7.109433e-01	-4.499397e-03	8.799918e-01
1.770000000000001e-01	7.109154e-01	-4.525889e-03	8.849918e-01
1.780000000000001e-01	7.108874e-01	-4.552391e-03	8.899918e-01
1.790000000000001e-01	7.108594e-01	-4.578906e-03	8.949918e-01
1.800000000000001e-01	7.108314e-01	-4.605428e-03	8.999918e-01
1.810000000000001e-01	7.108033e-01	-4.631966e-03	9.049917e-01
1.820000000000001e-01	7.107753e-01	-4.658512e-03	9.099917e-01
1.830000000000001e-01	7.107472e-01	-4.685071e-03	9.149917e-01
1.840000000000001e-01	7.107192e-01	-4.711640e-03	9.199917e-01
1.850000000000001e-01	7.106912e-01	-4.738220e-03	9.249917e-01
1.860000000000001e-01	7.106631e-01	-4.764810e-03	9.299917e-01
